id,timestamp,coordinate_x,coordinate_y,latitude,longitude,thresh,uuid,width,height,angle
461853,"2025-07-20 09:07:24.619245",3826,2574,35.5,139.6,3,"Raspi Soramame Sora01",,,
461899,"2025-07-20 09:23:22.824290",3921,1387,35.5,139.6,3,"Raspi Soramame Sora01",,,
461930,"2025-07-20 09:32:22.722316",1144,1358,35.5,139.6,3,"Raspi Soramame Sora01",,,
461938,"2025-07-20 09:34:35.895110",1794,480,35.5,139.6,3,"Raspi Soramame Sora01",,,
461960,"2025-07-20 09:39:56.972988",3907,770,35.5,139.6,3,"Raspi Soramame Sora01",,,
462011,"2025-07-20 09:58:01.059004",2740,2546,35.5,139.6,3,"Raspi Soramame Sora01",,,
462075,"2025-07-20 10:21:28.477110",2364,1479,35.5,139.6,3,"Raspi Soramame Sora01",,,
462162,"2025-07-20 10:52:19.381400",395,845,35.5,139.6,3,"Raspi Soramame Sora01",,,
462175,"2025-07-20 10:56:31.179408",3401,891,35.5,139.6,3,"Raspi Soramame Sora01",,,
462253,"2025-07-20 11:21:00.782244",1566,2134,35.5,139.6,3,"Raspi Soramame Sora01",,,
462295,"2025-07-20 11:33:01.271864",1687,1855,35.5,139.6,3,"Raspi Soramame Sora01",,,
462313,"2025-07-20 11:39:43.779644",697,1593,35.5,139.6,3,"Raspi Soramame Sora01",,,
462328,"2025-07-20 11:45:42.382148",626,484,35.5,139.6,3,"Raspi Soramame Sora01",,,
462332,"2025-07-20 11:46:17.465927",176,2646,35.5,139.6,3,"Raspi Soramame Sora01",,,
462403,"2025-07-20 12:10:14.389248",1746,2570,35.5,139.6,3,"Raspi Soramame Sora01",,,
462433,"2025-07-20 12:20:33.167217",2298,1618,35.5,139.6,3,"Raspi Soramame Sora01",,,
462449,"2025-07-20 12:24:42.523620",1276,2023,35.5,139.6,3,"Raspi Soramame Sora01",,,
462486,"2025-07-20 12:36:17.139631",71,1459,35.5,139.6,3,"Raspi Soramame Sora01",,,
462561,"2025-07-20 13:02:41.431745",3338,225,35.5,139.6,3,"Raspi Soramame Sora01",,,
462575,"2025-07-20 13:08:35.937919",228,278,35.5,139.6,3,"Raspi Soramame Sora01",,,
462602,"2025-07-20 13:20:57.641500",3662,622,35.5,139.6,3,"Raspi Soramame Sora01",,,
