id,timestamp,coordinate_x,coordinate_y,latitude,longitude,thresh,uuid,width,height,angle
461838,"2025-07-20 09:03:13.125675",2527,1215,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
461855,"2025-07-20 09:07:38.327277",147,3,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
461895,"2025-07-20 09:22:30.745663",1546,758,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
461897,"2025-07-20 09:22:30.745663",1319,513,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
461898,"2025-07-20 09:22:30.745663",866,177,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
461911,"2025-07-20 09:26:19.133241",1791,379,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
461916,"2025-07-20 09:27:16.491137",2472,2630,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
461933,"2025-07-20 09:33:07.081980",1642,2866,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
461948,"2025-07-20 09:36:30.366113",521,1425,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
461964,"2025-07-20 09:40:44.748402",1400,1354,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
461981,"2025-07-20 09:45:09.006119",932,2308,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462001,"2025-07-20 09:53:13.221301",981,297,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462002,"2025-07-20 09:53:13.221301",1147,275,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462021,"2025-07-20 10:01:22.077005",3887,883,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462032,"2025-07-20 10:04:22.202399",3082,838,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462036,"2025-07-20 10:05:43.309104",3805,2908,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462065,"2025-07-20 10:14:41.675621",2917,1463,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462111,"2025-07-20 10:34:28.090379",2849,1389,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462121,"2025-07-20 10:37:47.753767",2089,228,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462137,"2025-07-20 10:42:18.630584",3552,166,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462176,"2025-07-20 10:57:04.566925",1669,1831,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462183,"2025-07-20 10:59:06.932167",215,783,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462196,"2025-07-20 11:03:00.592378",1932,2499,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462209,"2025-07-20 11:08:48.164789",3220,2249,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462224,"2025-07-20 11:13:46.849977",693,568,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462230,"2025-07-20 11:14:45.800191",3814,2963,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462250,"2025-07-20 11:20:29.258584",527,244,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462260,"2025-07-20 11:23:25.861142",3622,46,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462265,"2025-07-20 11:24:45.552195",1679,355,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462270,"2025-07-20 11:27:11.461720",679,954,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
462272,"2025-07-20 11:28:27.536895",560,995,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
